1;204600.0000000000;59866;59866;E9DA
2;102200.0000000000;60711;60711;ED27
3;68066.6718750000;61231;61231;EF2F
4;51000.0000000000;61612;61612;F0AC
5;40760.0000000000;61915;61915;F1DB
6;33933.3359375000;62168;62168;F2D8
7;29057.1445312500;62386;62386;F3B2
8;25400.0000000000;62577;62577;F471
9;22555.5566406250;62748;62748;F51C
10;20280.0000000000;62903;62903;F5B7
11;18418.1816406250;63045;63045;F645
12;16866.6679687500;63175;63175;F6C7
13;15553.8466796875;63297;63297;F741
14;14428.5722656250;63410;63410;F7B2
15;13453.3339843750;63516;63516;F81C
16;12600.0000000000;63616;63616;F880
17;11847.0585937500;63711;63711;F8DF
18;11177.7783203125;63801;63801;F939
19;10578.9472656250;63887;63887;F98F
20;10040.0000000000;63969;63969;F9E1
21;9552.3808593750;64047;64047;FA2F
22;9109.0908203125;64122;64122;FA7A
23;8704.3476562500;64194;64194;FAC2
24;8333.3339843750;64264;64264;FB08
25;7992.0000000000;64331;64331;FB4B
26;7676.9233398437;64395;64395;FB8B
27;7385.1850585937;64458;64458;FBCA
28;7114.2861328125;64519;64519;FC07
29;6862.0688476562;64577;64577;FC41
30;6626.6669921875;64634;64634;FC7A
31;6406.4511718750;64690;64690;FCB2
32;6200.0000000000;64744;64744;FCE8
33;6006.0605468750;64796;64796;FD1C
34;5823.5292968750;64847;64847;FD4F
35;5651.4287109375;64897;64897;FD81
36;5488.8891601562;64946;64946;FDB2
37;5335.1352539062;64993;64993;FDE1
38;5189.4736328125;65040;65040;FE10
39;5051.2822265625;65085;65085;FE3D
40;4920.0000000000;65129;65129;FE69
41;4795.1215820312;65173;65173;FE95
42;4676.1904296875;65215;65215;FEBF
43;4562.7905273437;65257;65257;FEE9
44;4454.5454101562;65298;65298;FF12
45;4351.1113281250;65338;65338;FF3A
46;4252.1738281250;65378;65378;FF62
47;4157.4467773437;65416;65416;FF88
48;4066.6667480468;65454;65454;FFAE
49;3979.5917968750;65491;65491;FFD3
50;3896.0000000000;65528;65528;FFF8
51;3815.6865234375;27;27;1B
52;3738.4616699218;63;63;3F
53;3664.1508789062;98;98;62
54;3592.5925292968;132;132;84
55;3523.6362304687;166;166;A6
56;3457.1430664062;199;199;C7
57;3392.9824218750;232;232;E8
58;3331.0344238281;264;264;108
59;3271.1865234375;296;296;128
60;3213.3334960937;328;328;148
61;3157.3769531250;359;359;167
62;3103.2255859375;389;389;185
63;3050.7939453125;420;420;1A4
64;3000.0000000000;449;449;1C1
65;2950.7692871093;479;479;1DF
66;2903.0302734375;508;508;1FC
67;2856.7163085937;537;537;219
68;2811.7646484375;565;565;235
69;2768.1159667968;593;593;251
70;2725.7143554687;621;621;26D
71;2684.5070800781;648;648;288
72;2644.4445800781;675;675;2A3
73;2605.4794921875;702;702;2BE
74;2567.5676269531;729;729;2D9
75;2530.6667480468;755;755;2F3
76;2494.7368164062;781;781;30D
77;2459.7402343750;806;806;326
78;2425.6411132812;832;832;340
79;2392.4050292968;857;857;359
80;2360.0000000000;882;882;372
81;2328.3950195312;906;906;38A
82;2297.5607910156;931;931;3A3
83;2267.4697265625;955;955;3BB
84;2238.0952148437;979;979;3D3
85;2209.4118652343;1002;1002;3EA
86;2181.3952636718;1026;1026;402
87;2154.0229492187;1049;1049;419
88;2127.2727050781;1072;1072;430
89;2101.1235351562;1095;1095;447
90;2075.5556640625;1118;1118;45E
91;2050.5495605468;1140;1140;474
92;2026.0870361328;1162;1162;48A
93;2002.1505126953;1184;1184;4A0
94;1978.7233886718;1206;1206;4B6
95;1955.7895507812;1228;1228;4CC
96;1933.3333740234;1249;1249;4E1
97;1911.3400878906;1271;1271;4F7
98;1889.7958984375;1292;1292;50C
99;1868.6868896484;1313;1313;521
100;1848.0000000000;1334;1334;536
101;1827.7227783203;1354;1354;54A
102;1807.8432617187;1375;1375;55F
103;1788.3494873046;1395;1395;573
104;1769.2308349609;1416;1416;588
105;1750.4763183593;1436;1436;59C
106;1732.0754394531;1456;1456;5B0
107;1714.0186767578;1475;1475;5C3
108;1696.2962646484;1495;1495;5D7
109;1678.8990478515;1514;1514;5EA
110;1661.8181152343;1534;1534;5FE
111;1645.0450439453;1553;1553;611
112;1628.5715332031;1572;1572;624
113;1612.3894042968;1591;1591;637
114;1596.4912109375;1610;1610;64A
115;1580.8695068359;1629;1629;65D
116;1565.5172119140;1647;1647;66F
117;1550.4274902343;1666;1666;682
118;1535.5932617187;1684;1684;694
119;1521.0085449218;1702;1702;6A6
120;1506.6667480468;1721;1721;6B9
121;1492.5618896484;1739;1739;6CB
122;1478.6884765625;1757;1757;6DD
123;1465.0405273437;1774;1774;6EE
124;1451.6127929687;1792;1792;700
125;1438.4000244140;1810;1810;712
126;1425.3969726562;1827;1827;723
127;1412.5983886718;1845;1845;735
128;1400.0000000000;1862;1862;746
129;1387.5969238281;1879;1879;757
130;1375.3846435546;1896;1896;768
131;1363.3587646484;1913;1913;779
132;1351.5151367187;1930;1930;78A
133;1339.8496093750;1947;1947;79B
134;1328.3581542968;1964;1964;7AC
135;1317.0369873046;1980;1980;7BC
136;1305.8823242187;1997;1997;7CD
137;1294.8905029296;2013;2013;7DD
138;1284.0579833984;2030;2030;7EE
139;1273.3813476562;2046;2046;7FE
140;1262.8571777343;2062;2062;80E
141;1252.4821777343;2078;2078;81E
142;1242.2535400390;2094;2094;82E
143;1232.1678466796;2110;2110;83E
144;1222.2222900390;2126;2126;84E
145;1212.4138183593;2142;2142;85E
146;1202.7397460937;2158;2158;86E
147;1193.1972656250;2173;2173;87D
